GEOID,NAME,COUNTYNAME,PlanningRegion,ARCModelingArea,# Adults 2020,% Adults 2020,# Children 2020,% Children 2020,# Total population 2020,# Non-Hispanic White 2020,% Non-Hispanic Black 2020,# Non-Hispanic Black 2020,% Hispanic all races 2020,% Non-Hispanic other race 2020,# Non-Hispanic other race 2020,% Non-Hispanic White adults 2020,% Non-Hispanic Black adults 2020,# Non-Hispanic White adults 2020,# Non-Hispanic Black adults 2020,# Hispanic adults all races 2020,% Hispanic adults all races 2020,# Non-Hispanic Black children 2020,% Non-Hispanic White children 2020,# Non-Hispanic White children 2020,% Non-Hispanic Black children 2020,% Hispanic children all races 2020,# Hispanic children all races 2020,# Non-Hispanic other race adults 2020,% Non-Hispanic other race adults 2020,# Non-Hispanic other race children 2020,% Non-Hispanic Asian or Pacific Islander 2020,# Non-Hispanic Asian or Pacific Islander 2020,# Non-Hispanic Asian or Pacific Islander adults 2020,% Non-Hispanic Asian or Pacific Islander adults 2020,# Non-Hispanic Asian or Pacific Islander children 2020,% Non-Hispanic Asian or Pacific Islander children 2020,% Non-Hispanic White 2020,# Hispanic all races 2020,% Non-Hispanic other race children 2020
13089020100,Census Tract 201,DeKalb,Atlanta Regional Commission,Yes,1557,72.8,583,27.2,2140,1624,3.6,77,10.7,5.9,126,57.2,2.9,1225,61,145,6.8,16,18.6,399,0.7,4,85,58,2.7,68,3.9,83,68,3.2,15,0.7,75.9,230,3.2
13121006602,Census Tract 66.02,Fulton,Atlanta Regional Commission,Yes,766,73,284,27,1050,47,90.1,946,3.5,1.8,19,4,64.9,42,681,28,2.7,265,0.5,5,25.2,0.9,9,15,1.4,4,0.1,1,0,0,1,0.1,4.5,37,0.4
13089021416,Census Tract 214.16,DeKalb,Atlanta Regional Commission,Yes,1797,78.9,481,21.1,2278,1026,6.1,139,38.3,3.8,87,41.1,5.5,937,126,535,23.5,13,3.9,89,0.6,14.8,337,65,2.9,22,6.8,154,134,5.9,20,0.9,45,872,1
13135050536,Census Tract 505.36,Gwinnett,Atlanta Regional Commission,Yes,5113,75.1,1697,24.9,6810,1298,30.9,2103,35.7,3.6,242,16.7,22.3,1140,1520,1689,24.8,583,2.3,158,8.6,10.9,745,164,2.4,78,10.8,733,600,8.8,133,2,19.1,2434,1.1
13121011000,Census Tract 110,Fulton,Atlanta Regional Commission,Yes,2203,71.4,882,28.6,3085,127,69.9,2156,22.9,2.8,87,3.7,52.2,115,1611,406,13.2,545,0.4,12,17.7,9.7,300,68,2.2,19,0.3,9,3,0.1,6,0.2,4.1,706,0.6
13121000700,Census Tract 7,Fulton,Atlanta Regional Commission,Yes,3252,92.9,248,7.1,3500,709,72.5,2536,3.9,2,69,18.2,68.6,637,2402,121,3.5,134,2.1,72,3.8,0.4,15,46,1.3,23,1.4,50,46,1.3,4,0.1,20.3,136,0.7
13129970500,Census Tract 9705,Gordon,Northwest Georgia,No,3553,74.8,1198,25.2,4751,2850,4,189,30.6,3.4,160,48.2,3.3,2288,156,931,19.6,33,11.8,562,0.7,11,522,101,2.1,59,2.1,99,77,1.6,22,0.5,60,1453,1.2
13265010200,Census Tract 102,Taliaferro,Central Savannah River Area,No,1289,82.7,270,17.3,1559,591,53.4,833,4.4,3.8,60,32.5,44.8,506,699,46,3,134,5.5,85,8.6,1.5,23,35,2.2,25,0.4,6,3,0.2,3,0.2,37.9,69,1.6
13067031507,Census Tract 315.07,Cobb,Atlanta Regional Commission,Yes,2711,76.4,838,23.6,3549,623,60,2130,17.7,3.8,134,16.5,45.6,586,1620,391,11,510,1,37,14.4,6.6,236,90,2.5,44,1,35,24,0.7,11,0.3,17.6,627,1.2
13013180108,Census Tract 1801.08,Barrow,Northeast Georgia,Yes,2235,74.8,752,25.2,2987,2189,5.4,160,12.7,4.5,134,56.3,4.5,1682,133,213,7.1,27,17,507,0.9,5.6,167,96,3.2,38,4.2,124,111,3.7,13,0.4,73.3,380,1.3
13089023101,Census Tract 231.01,DeKalb,Atlanta Regional Commission,Yes,3587,83.8,694,16.2,4281,1184,60.5,2592,5,5.4,231,24.4,50.2,1044,2148,161,3.8,444,3.3,140,10.4,1.2,53,175,4.1,56,1.4,60,59,1.4,1,0,27.7,214,1.3
13121006400,Census Tract 64,Fulton,Atlanta Regional Commission,Yes,714,79.2,188,20.8,902,219,55.7,502,16,3.8,34,22.5,42.7,203,385,98,10.9,117,1.8,16,13,5.1,46,25,2.8,9,0.3,3,3,0.3,0,0,24.3,144,1
13245010105,Census Tract 101.05,Richmond,Central Savannah River Area,No,4171,84.8,745,15.2,4916,3231,19.6,964,5.5,5.9,290,57.6,15.9,2831,780,210,4.3,184,8.1,400,3.7,1.2,61,208,4.2,82,3.3,160,142,2.9,18,0.4,65.7,271,1.7
13121001001,Census Tract 10.01,Fulton,Atlanta Regional Commission,Yes,4682,95.6,213,4.4,4895,2665,14,683,9.6,5.3,261,52.7,13.3,2580,652,444,9.1,31,1.7,85,0.6,0.5,26,246,5,15,16.7,816,760,15.5,56,1.1,54.4,470,0.3
13089020400,Census Tract 204,DeKalb,Atlanta Regional Commission,Yes,2038,79.8,517,20.2,2555,2027,4.7,121,6,6.3,161,64.1,4,1639,101,114,4.5,20,15.2,388,0.8,1.5,39,100,3.9,61,3.6,93,84,3.3,9,0.4,79.3,153,2.4
13059000401,Census Tract 4.01,Clarke,Northeast Georgia,No,1638,89.9,184,10.1,1822,1052,6,110,6.1,2.9,53,54.8,5.4,998,98,96,5.3,12,3,54,0.7,0.8,15,40,2.2,13,27.2,496,406,22.3,90,4.9,57.7,111,0.7
13089021703,Census Tract 217.03,DeKalb,Atlanta Regional Commission,Yes,3816,78.9,1018,21.1,4834,3762,4.7,227,5.8,4.1,196,62.4,3.8,3014,186,193,4,41,15.5,748,0.8,1.8,86,115,2.4,81,7.7,370,308,6.4,62,1.3,77.8,279,1.7
13089021305,Census Tract 213.05,DeKalb,Atlanta Regional Commission,Yes,3784,68.5,1742,31.5,5526,1142,12.1,667,59,2.9,160,16.5,9.2,910,508,2010,36.4,159,4.2,232,2.9,22.6,1251,98,1.8,62,5.4,296,258,4.7,38,0.7,20.7,3261,1.1
13121003700,Census Tract 37,Fulton,Atlanta Regional Commission,Yes,178,93.2,13,6.8,191,2,91.1,174,1,6.8,13,1,86.4,2,165,2,1,9,0,0,4.7,0,0,9,4.7,4,0,0,0,0,0,0,1,2,2.1
13097080508,Census Tract 805.08,Douglas,Atlanta Regional Commission,Yes,4490,76.3,1398,23.7,5888,1978,47,2767,11.8,5.4,316,28.5,34.8,1679,2051,450,7.6,716,5.1,299,12.2,4.1,242,205,3.5,111,2.3,135,105,1.8,30,0.5,33.6,692,1.9
13121006900,Census Tract 69,Fulton,Atlanta Regional Commission,Yes,2961,79.3,772,20.7,3733,1459,37.6,1404,16.5,4.6,172,33.1,29.5,1235,1102,420,11.3,302,6,224,8.1,5.3,196,125,3.3,47,2.2,82,79,2.1,3,0.1,39.1,616,1.3
13121010120,Census Tract 101.20,Fulton,Atlanta Regional Commission,Yes,2132,85.6,360,14.4,2492,1289,27,673,10.3,7,174,48.1,20.6,1199,514,200,8,159,3.6,90,6.4,2.3,57,131,5.3,43,4,99,88,3.5,11,0.4,51.7,257,1.7
13059000100,Census Tract 1,Clarke,Northeast Georgia,No,2869,90.6,298,9.4,3167,2585,6.2,196,3.8,4.2,134,75.1,5,2378,158,102,3.2,38,6.5,207,1.2,0.5,17,105,3.3,29,4.2,133,126,4,7,0.2,81.6,119,0.9
13059002200,Census Tract 22,Clarke,Northeast Georgia,No,2298,86,373,14,2671,2070,7.1,189,6.4,4.6,124,68.3,6,1823,160,124,4.6,29,9.2,247,1.1,1.8,47,83,3.1,41,4.4,117,108,4,9,0.3,77.5,171,1.5
13135050729,Census Tract 507.29,Gwinnett,Atlanta Regional Commission,Yes,2750,73,1018,27,3768,861,50.9,1917,18.4,4.9,184,19.3,36.2,726,1364,455,12.1,553,3.6,135,14.7,6.4,240,112,3,72,2.9,111,93,2.5,18,0.5,22.9,695,1.9
13313001400,Census Tract 14,Whitfield,Northwest Georgia,No,4558,73.1,1680,26.9,6238,3230,2.6,161,39.1,2.8,177,41.8,1.9,2606,120,1530,24.5,41,10,624,0.7,14.6,912,128,2.1,49,3.7,228,174,2.8,54,0.9,51.8,2442,0.8
13117130103,Census Tract 1301.03,Forsyth,Atlanta Regional Commission,Yes,3627,75.9,1154,24.1,4781,3861,1.7,81,13.1,3.7,179,63.4,1,3030,49,405,8.5,32,17.4,831,0.7,4.7,223,121,2.5,58,0.7,32,22,0.5,10,0.2,80.8,628,1.2
13135050537,Census Tract 505.37,Gwinnett,Atlanta Regional Commission,Yes,4237,75.8,1350,24.2,5587,816,47.2,2635,27.3,5,279,12.8,34.9,713,1952,1092,19.5,683,1.8,103,12.2,7.7,432,192,3.4,87,6,333,288,5.2,45,0.8,14.6,1524,1.6
13121003500,Census Tract 35,Fulton,Atlanta Regional Commission,Yes,4189,98.4,69,1.6,4258,1078,52.8,2249,15.5,2.9,125,24.9,52.2,1061,2222,651,15.3,27,0.4,17,0.6,0.3,11,111,2.6,14,3.4,144,144,3.4,0,0,25.3,662,0.3
13117130604,Census Tract 1306.04,Forsyth,Atlanta Regional Commission,Yes,3465,68.2,1619,31.8,5084,2905,4.3,218,7,5,253,41.4,3,2106,150,233,4.6,68,15.7,799,1.3,2.4,122,125,2.5,128,26.6,1353,851,16.7,502,9.9,57.1,355,2.5
13089022007,Census Tract 220.07,DeKalb,Atlanta Regional Commission,Yes,2973,67.1,1458,32.9,4431,383,63.3,2806,4.7,5.4,240,7.4,42.3,330,1874,137,3.1,932,1.2,53,21,1.6,70,135,3,105,17.9,795,497,11.2,298,6.7,8.6,207,2.4
13135050317,Census Tract 503.17,Gwinnett,Atlanta Regional Commission,Yes,2996,76.9,902,23.1,3898,617,46.2,1799,30.8,4.1,161,14.5,35.6,567,1388,824,21.1,411,1.3,50,10.5,9.6,376,111,2.8,50,3.1,121,106,2.7,15,0.4,15.8,1200,1.3
13121004200,Census Tract 42,Fulton,Atlanta Regional Commission,Yes,2051,84,392,16,2443,157,87.2,2130,2,3.8,94,5.3,73.5,130,1795,42,1.7,335,1.1,27,13.7,0.2,6,70,2.9,24,0.6,14,14,0.6,0,0,6.4,48,1
13121980000,Census Tract 9800,Fulton,Atlanta Regional Commission,Yes,0,,0,,0,0,,0,,,0,,,0,0,0,,0,,0,,,0,0,,0,,0,0,,0,,,0,
13121003100,Census Tract 31,Fulton,Atlanta Regional Commission,Yes,2014,89.5,236,10.5,2250,1315,21.5,484,8.9,5.8,131,53.8,17.8,1211,400,175,7.8,84,4.6,104,3.7,1.1,25,114,5.1,17,5.3,120,114,5.1,6,0.3,58.4,200,0.8
13301970500,Census Tract 9705,Warren,Central Savannah River Area,No,2098,83.5,414,16.5,2512,1004,56.4,1417,1,2.3,59,35.2,45.7,884,1149,23,0.9,268,4.8,120,10.7,0.1,3,37,1.5,22,0.2,6,5,0.2,1,0,40,26,0.9
13067030414,Census Tract 304.14,Cobb,Atlanta Regional Commission,Yes,2628,78.7,713,21.3,3341,559,53.5,1788,17.7,9.8,328,14.3,42,479,1403,424,12.7,385,2.4,80,11.5,5,167,258,7.7,70,2.2,75,64,1.9,11,0.3,16.7,591,2.1
13067031212,Census Tract 312.12,Cobb,Atlanta Regional Commission,Yes,2020,82.2,436,17.8,2456,2189,2.7,67,2.9,2.5,61,74.4,2.2,1828,54,63,2.6,13,14.7,361,0.5,0.4,9,27,1.1,34,2.7,67,48,2,19,0.8,89.1,72,1.4
13121004400,Census Tract 44,Fulton,Atlanta Regional Commission,Yes,1844,69.1,823,30.9,2667,68,92.5,2466,1.8,2.7,72,2.5,62.6,67,1670,33,1.2,796,0,1,29.8,0.6,16,63,2.4,9,0.4,12,11,0.4,1,0,2.5,49,0.3
13121007400,Census Tract 74,Fulton,Atlanta Regional Commission,Yes,2376,75.6,765,24.4,3141,130,81.2,2550,11.1,2.9,92,4,61.6,126,1936,240,7.6,614,0.1,4,19.5,3.4,108,59,1.9,33,0.7,21,15,0.5,6,0.2,4.1,348,1.1
13063040615,Census Tract 406.15,Clayton,Atlanta Regional Commission,Yes,1524,74.3,526,25.7,2050,226,67.6,1386,12.8,4.5,93,9.1,51.5,186,1056,166,8.1,330,2,40,16.1,4.7,96,59,2.9,34,4,83,57,2.8,26,1.3,11,262,1.7
13089023425,Census Tract 234.25,DeKalb,Atlanta Regional Commission,Yes,4887,79.6,1255,20.4,6142,153,90.5,5558,2.4,4.1,252,2.4,72.3,146,4438,93,1.5,1120,0.1,7,18.2,0.9,56,185,3,67,0.5,30,25,0.4,5,0.1,2.5,149,1.1
13121003800,Census Tract 38,Fulton,Atlanta Regional Commission,Yes,3350,96.9,106,3.1,3456,34,97.1,3356,0.6,1,36,1,94.2,34,3255,20,0.6,101,0,0,2.9,0,1,32,0.9,4,0.3,9,9,0.3,0,0,1,21,0.1
13021012900,Census Tract 129,Bibb,Middle Georgia,No,1253,73.6,449,26.4,1702,408,63.6,1082,8.4,3.8,65,21.2,45.2,361,769,82,4.8,313,2.8,47,18.4,3.6,61,38,2.2,27,0.2,4,3,0.2,1,0.1,24,143,1.6
13121007500,Census Tract 75,Fulton,Atlanta Regional Commission,Yes,2682,77.8,765,22.2,3447,181,84.3,2907,5.5,3.3,115,4.8,65.5,166,2257,125,3.6,650,0.4,15,18.9,1.9,65,86,2.5,29,1.6,54,48,1.4,6,0.2,5.3,190,0.8
13317010302,Census Tract 103.02,Wilkes,Central Savannah River Area,No,3401,77.1,1011,22.9,4412,1540,58.3,2570,3.2,3.3,144,29.4,43.5,1296,1920,90,2,650,5.5,244,14.7,1.2,51,78,1.8,66,0.4,17,17,0.4,0,0,34.9,141,1.5
13089021813,Census Tract 218.13,DeKalb,Atlanta Regional Commission,Yes,2109,76.1,662,23.9,2771,220,45.6,1263,40.7,3.4,95,6.6,38.9,182,1079,728,26.3,184,1.4,38,6.6,14.4,399,68,2.5,27,2.4,66,52,1.9,14,0.5,7.9,1127,1
13319960200,Census Tract 9602,Wilkinson,Middle Georgia,No,2348,80.3,576,19.7,2924,1272,48.5,1419,4.7,3,87,35.7,39.1,1043,1144,86,2.9,275,7.8,229,9.4,1.8,52,67,2.3,20,0.3,8,8,0.3,0,0,43.5,138,0.7
13313001000,Census Tract 10,Whitfield,Northwest Georgia,No,2586,66.4,1310,33.6,3896,605,6.5,253,76.7,1,40,12,5,469,193,1891,48.5,60,3.5,136,1.5,28.1,1096,26,0.7,14,0.3,11,7,0.2,4,0.1,15.5,2987,0.4
13067031114,Census Tract 311.14,Cobb,Atlanta Regional Commission,Yes,5757,83.7,1123,16.3,6880,1749,36,2475,23,5.8,396,24.2,30.1,1666,2074,1136,16.5,401,1.2,83,5.8,6.5,447,309,4.5,87,9.8,677,572,8.3,105,1.5,25.4,1583,1.3
13121008301,Census Tract 83.01,Fulton,Atlanta Regional Commission,Yes,1896,75.1,628,24.9,2524,88,90.4,2281,2.9,3.2,82,3.4,67.5,85,1704,50,2,577,0.1,3,22.9,0.9,22,56,2.2,26,0,1,1,0,0,0,3.5,72,1
13141480300,Census Tract 4803,Hancock,Central Savannah River Area,No,2364,86.8,361,13.2,2725,1320,47,1280,0.9,3.6,98,45,38.3,1227,1044,16,0.6,236,3.4,93,8.7,0.3,8,74,2.7,24,0.1,3,3,0.1,0,0,48.4,24,0.9
13121003900,Census Tract 39,Fulton,Atlanta Regional Commission,Yes,1401,79.8,355,20.2,1756,72,88.7,1557,2.7,4.2,74,4.1,70.6,72,1239,32,1.8,318,0,0,18.1,0.9,15,52,3,22,0.3,6,6,0.3,0,0,4.1,47,1.3
13151070310,Census Tract 703.10,Henry,Atlanta Regional Commission,Yes,5073,75.4,1652,24.6,6725,2651,43.2,2908,9.1,5.9,398,33.2,30.4,2236,2047,407,6.1,861,6.2,415,12.8,3,205,251,3.7,147,2.3,156,132,2,24,0.4,39.4,612,2.2
13121011612,Census Tract 116.12,Fulton,Atlanta Regional Commission,Yes,2738,79.1,724,20.9,3462,2135,7.9,272,3.6,4.4,151,50.4,5.7,1744,198,91,2.6,74,11.3,391,2.1,1,34,94,2.7,57,22.5,779,611,17.6,168,4.9,61.7,125,1.6
13117130602,Census Tract 1306.02,Forsyth,Atlanta Regional Commission,Yes,4188,69.1,1874,30.9,6062,2011,8.1,490,28.6,4.5,275,25.5,5.6,1543,338,1105,18.2,152,7.7,468,2.5,10.4,631,164,2.7,111,25.6,1550,1038,17.1,512,8.4,33.2,1736,1.8
13089020200,Census Tract 202,DeKalb,Atlanta Regional Commission,Yes,1857,84.3,345,15.7,2202,1727,4.8,105,5.2,5.7,126,67.6,4.1,1489,90,90,4.1,15,10.8,238,0.7,1.1,25,80,3.6,46,5.9,129,108,4.9,21,1,78.4,115,2.1
13063040617,Census Tract 406.17,Clayton,Atlanta Regional Commission,Yes,1110,70.5,464,29.5,1574,294,21,331,55.8,4.1,64,15.9,16.3,250,257,552,35.1,74,2.8,44,4.7,20.7,326,46,2.9,18,0.4,7,5,0.3,2,0.1,18.7,878,1.1
13121007603,Census Tract 76.03,Fulton,Atlanta Regional Commission,Yes,3119,78.4,860,21.6,3979,66,93.5,3722,2.2,2.4,96,1.7,73.3,66,2917,54,1.4,805,0,0,20.2,0.9,35,79,2,17,0.2,6,3,0.1,3,0.1,1.7,89,0.4
13067030344,Census Tract 303.44,Cobb,Atlanta Regional Commission,Yes,3071,83,631,17,3702,889,48,1776,9.8,9.2,341,22.2,37.9,820,1403,290,7.8,373,1.9,69,10.1,2,74,277,7.5,64,9,332,281,7.6,51,1.4,24,364,1.7
13163960300,Census Tract 9603,Jefferson,Central Savannah River Area,No,4534,78.1,1274,21.9,5808,2208,57,3313,2.3,2,118,30.9,43.9,1795,2549,83,1.4,764,7.1,413,13.2,0.8,49,76,1.3,42,0.6,37,31,0.5,6,0.1,38,132,0.7
13121011100,Census Tract 111,Fulton,Atlanta Regional Commission,Yes,2174,86.1,350,13.9,2524,836,49.2,1241,10.7,4.9,124,30.9,41.6,780,1050,207,8.2,191,2.2,56,7.6,2.5,63,93,3.7,31,2.1,53,44,1.7,9,0.4,33.1,270,1.2
13089021417,Census Tract 214.17,DeKalb,Atlanta Regional Commission,Yes,3327,77.2,983,22.8,4310,938,12.2,526,57.2,3.4,147,21,11.3,905,487,1578,36.6,39,0.8,33,0.9,20.6,886,131,3,16,5.5,235,226,5.2,9,0.2,21.8,2464,0.4
